protacxn,geneid,genesymbol,cid,drugtype,drugname,druggroup,drugaction,drugdetail,targettype,targetid,targetname,targetcomponent,targetcomponentname,generalfunc,specificfunc,pmids,cmpdname,dois
   P30556,185,AGTR1,3961,small molecule,Losartan,approved,antagonist,DB00678,target,BE0000062,Type-1 angiotensin II receptor,P30556,Type-1 angiotensin II receptor,Protein heterodimerization activity,Receptor for angiotensin II. Mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system.,11752352|15026875|15991937|12710529|12719755|15573751,Losartan,10.1093/nar/30.1.412|10.1177/000331970405500212|10.1517/13543784.7.11.1897|10.1139/y02-156|10.1113/eph8802476|
P11712,1559,CYP2C9,3961,small molecule,Losartan,approved,substrate,DB00678,enzyme,BE0002793,Cytochrome P450 2C9,P11712,Cytochrome P450 2C9,Steroid hydroxylase activity,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics. This enzyme contributes to the wide pharmacokinetics variability of the metabolism of drugs such as S-warfarin, diclofenac, phenytoin, tolbutamide and losartan.",10678291|16029066|19515014|11823761,Losartan,10.1592/phco.20.3.130.34788|10.2165/00003088-200544080-00003|10.2174/092986709789057635|10.1067/mcp.2002.121216
P08684,1576,CYP3A4,3961,small molecule,Losartan,approved,substrate; inhibitor,DB00678,enzyme,BE0002638,Cytochrome P450 3A4,P08684,Cytochrome P450 3A4,Vitamin d3 25-hydroxylase activity,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation reactions (e.g. caffeine 8-oxidation, omeprazole sulphoxidation, midazolam 1'-hydroxylation and midazolam 4-hydroxylation) of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics. Acts as a 1,8-cineole 2-exo-monooxygenase. The enzyme also hydroxylates etoposide (PubMed:11159812). Catalyzes 4-beta-hydroxylation of cholesterol. May catalyze 25-hydroxylation of cholesterol in vitro (PubMed:21576599).",10678291|16029066|19515014|25424246,Losartan,10.1592/phco.20.3.130.34788|10.2165/00003088-200544080-00003|10.2174/092986709789057635|10.1111/bcpt.12355
P33261,1557,CYP2C19,3961,small molecule,Losartan,approved,inhibitor,DB00678,enzyme,BE0003536,Cytochrome P450 2C19,P33261,Cytochrome P450 2C19,Steroid hydroxylase activity,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and imipramine.",10877007,Losartan,10.1007/s002280050731
P22309,54658,UGT1A1,3961,small molecule,Losartan,approved,substrate,DB00678,enzyme,BE0003541,UDP-glucuronosyltransferase 1-1,P22309,UDP-glucuronosyltransferase 1-1,Steroid binding,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the IX-alpha-C8 and IX-alpha-C12 monoconjugates and diconjugate. Is also able to catalyze the glucuronidation of 17beta-estradiol, 17alpha-ethinylestradiol, 1-hydroxypyrene, 4-methylumbelliferone, 1-naphthol, paranitrophenol, scopoletin, and umbelliferone. Isoform 2 lacks transferase activity but acts as a negative regulator of isoform 1.",19515014,Losartan,10.2174/092986709789057635
P35503,54659,UGT1A3,3961,small molecule,Losartan,approved,substrate,DB00678,enzyme,BE0003677,UDP-glucuronosyltransferase 1-3,P35503,UDP-glucuronosyltransferase 1-3,Retinoic acid binding,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative regulator of isoform 1.,19515014,Losartan,10.2174/092986709789057635
Q9HAW8,54575,UGT1A10,3961,small molecule,Losartan,approved,substrate,DB00678,enzyme,BE0003678,UDP-glucuronosyltransferase 1-10,Q9HAW8,UDP-glucuronosyltransferase 1-10,Protein kinase c binding,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative regulator of isoform 1.,19515014,Losartan,10.2174/092986709789057635
P16662,7364,UGT2B7,3961,small molecule,Losartan,approved,substrate,DB00678,enzyme,BE0003679,UDP-glucuronosyltransferase 2B7,P16662,UDP-glucuronosyltransferase 2B7,Glucuronosyltransferase activity,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds.Its unique specificity for 3,4-catechol estrogens and estriol suggests it may play an important role in regulating the level and activity of these potent and active estrogen metabolites. Is also active with androsterone, hyodeoxycholic acid and tetrachlorocatechol (in vitro).",19515014,Losartan,10.2174/092986709789057635
O75795,7367,UGT2B17,3961,small molecule,Losartan,approved,substrate,DB00678,enzyme,BE0003680,UDP-glucuronosyltransferase 2B17,O75795,UDP-glucuronosyltransferase 2B17,Glucuronosyltransferase activity,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. The major substrates of this isozyme are eugenol > 4-methylumbelliferone > dihydrotestosterone (DHT) > androstane-3-alpha,17-beta-diol (3-alpha-diol) > testosterone > androsterone (ADT).",19515014,Losartan,10.2174/092986709789057635
P10632,1558,CYP2C8,3961,small molecule,Losartan,approved,inhibitor,DB00678,enzyme,BE0002887,Cytochrome P450 2C8,P10632,Cytochrome P450 2C8,Steroid hydroxylase activity,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics. In the epoxidation of arachidonic acid it generates only 14,15- and 11,12-cis-epoxyeicosatrienoic acids. It is the principal enzyme responsible for the metabolism the anti-cancer drug paclitaxel (taxol).",25424246,Losartan,10.1111/bcpt.12355
P08183,5243,ABCB1,3961,small molecule,Losartan,approved,substrate; inhibitor,DB00678,transporter,BE0001032,P-glycoprotein 1,P08183,Multidrug resistance protein 1,Xenobiotic-transporting atpase activity,Energy-dependent efflux pump responsible for decreased drug accumulation in multidrug-resistant cells.,11895100|8621716|10725273,Losartan,10.1016/s0024-3205(01)01494-1|10.1074/jbc.271.6.3163|10.1038/sj.bjp.0703150
